District Name,Taluk Name,Market Name,Address,Telephone,Commodity,Year,Month,Arrival,Unit
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bajra,2012,Jan,242,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bull  ,2012,Jan,65,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Cow  ,2012,Jan,151,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Goat  ,2012,Jan,492,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Groundnut,2012,Jan,364,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,He Baffalo  ,2012,Jan,41,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Jowar,2012,Jan,4,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Maize,2012,Jan,21669,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ox  ,2012,Jan,233,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ram  ,2012,Jan,180,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sajje,2012,Jan,4649,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Baffalo  ,2012,Jan,290,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Goat  ,2012,Jan,2948,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sheep  ,2012,Jan,4027,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sunflower,2012,Jan,990,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Alasande Gram,2012,Feb,5,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bajra,2012,Feb,2872,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bull  ,2012,Feb,56,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Cow  ,2012,Feb,159,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Goat  ,2012,Feb,252,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Groundnut,2012,Feb,87,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,He Baffalo  ,2012,Feb,56,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Horse Gram,2012,Feb,5,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Jowar,2012,Feb,23,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Maize,2012,Feb,5184,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ox  ,2012,Feb,94,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ram  ,2012,Feb,259,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Baffalo  ,2012,Feb,258,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Goat  ,2012,Feb,3230,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sheep  ,2012,Feb,4940,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sunflower,2012,Feb,304,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Alasande Gram,2012,Mar,756,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bajra,2012,Mar,51312,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bengalgram,2012,Mar,14,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bull  ,2012,Mar,94,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Cow  ,2012,Mar,176,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Goat  ,2012,Mar,507,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Groundnut,2012,Mar,650,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,He Baffalo  ,2012,Mar,37,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Jowar,2012,Mar,17,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Maize,2012,Mar,10346,Quintal   
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ox  ,2012,Mar,156,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ram  ,2012,Mar,545,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Baffalo  ,2012,Mar,392,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Goat  ,2012,Mar,4244,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sheep  ,2012,Mar,5515,Numbers 
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sunflower,2012,Mar,16,Quintal   
